Row,Id,Score,Age,Tenure,Balance,Salary,Surname,Nationality,Gender,Products,Card,Active,Churn
1,15634602,619,1.6232492903979006,2,0.0,101348.88,Hargrave,France,Female,1,1,1,1
2,15647311,608,1.6127838567197355,1,83807.86,112542.58,Hill,Spain,Female,1,0,1,0
3,15619304,502,1.6232492903979006,8,159660.8,113931.57,Onio,France,Female,3,1,0,1
4,15701354,699,1.591064607026499,1,0.0,93826.63,Boni,France,Female,2,0,0,0
5,15737888,850,1.6334684555795864,2,125510.82,79084.1,Mitchell,Spain,Female,1,1,1,0
6,15574012,645,1.6434526764861874,8,113755.78,149756.71,Chu,Spain,Male,2,1,0,1
7,15592531,822,1.6989700043360187,7,0.0,10062.8,Bartlett,France,Male,2,1,1,0
8,15656148,376,1.462397997898956,4,115046.74,119346.88,Obinna,Germany,Female,4,1,0,1
9,15792365,501,1.6434526764861874,4,142051.07,74940.5,He,France,Male,2,0,1,0
10,15592389,684,1.4313637641589874,2,134603.88,71725.73,H?,France,Male,1,1,1,0
11,15767821,528,1.4913616938342726,6,102016.72,80181.12,Bearce,France,Male,2,0,0,0
12,15737173,497,1.380211241711606,3,0.0,76390.01,Andrews,Spain,Male,2,1,0,0
13,15632264,476,1.5314789170422551,10,0.0,26260.98,Kay,France,Female,2,1,0,0
14,15691483,549,1.3979400086720377,5,0.0,190857.79,Chin,France,Female,2,0,0,0
15,15600882,635,1.5440680443502757,7,0.0,65951.65,Scott,Spain,Female,2,1,1,0
16,15643966,616,1.6532125137753437,3,143129.41,64327.26,Goforth,Germany,Male,2,0,1,0
17,15737452,653,1.7634279935629373,1,132602.88,5097.67,Romeo,Germany,Male,1,1,0,1
18,15788218,549,1.380211241711606,9,0.0,14406.41,Henderson,Spain,Female,2,1,1,0
19,15661507,587,1.6532125137753437,6,0.0,158684.81,Muldrow,Spain,Male,1,0,0,0
20,15568982,726,1.380211241711606,6,0.0,54724.03,Hao,France,Female,2,1,1,0
21,15577657,732,1.6127838567197355,8,0.0,170886.17,McDonald,France,Male,2,1,1,0
22,15597945,636,1.505149978319906,8,0.0,138555.46,Dellucci,Spain,Female,2,1,0,0
23,15699309,510,1.5797835966168101,4,0.0,118913.53,Gerasimov,Spain,Female,1,1,0,1
24,15725737,669,1.662757831681574,3,0.0,8487.75,Mosman,France,Male,2,0,1,0
25,15625047,846,1.5797835966168101,5,0.0,187616.16,Yen,France,Female,1,1,1,0
26,15738191,577,1.3979400086720377,3,0.0,124508.29,Maclean,France,Male,2,0,1,0
27,15736816,756,1.5563025007672873,2,136815.64,170041.95,Young,Germany,Male,1,1,1,0
28,15700772,571,1.6434526764861874,9,0.0,38433.35,Nebechi,France,Male,2,0,0,0
29,15728693,574,1.6334684555795864,3,141349.43,100187.43,McWilliams,Germany,Female,1,1,1,0
30,15656300,411,1.462397997898956,0,59697.17,53483.21,Lucciano,France,Male,2,1,1,0
31,15589475,591,1.591064607026499,3,0.0,140469.38,Azikiwe,Spain,Female,3,1,0,1
32,15706552,533,1.5563025007672873,7,85311.7,156731.91,Odinakachukwu,France,Male,1,0,1,0
33,15750181,553,1.6127838567197355,9,110112.54,81898.81,Sanderson,Germany,Male,2,0,0,0
34,15659428,520,1.6232492903979006,6,0.0,34410.55,Maggard,Spain,Female,2,1,1,0
35,15732963,722,1.462397997898956,9,0.0,142033.07,Clements,Spain,Female,2,1,1,0
36,15794171,475,1.6532125137753437,0,134264.04,27822.99,Lombardo,France,Female,1,1,0,1
37,15788448,490,1.4913616938342726,3,145260.23,114066.77,Watson,Spain,Male,1,0,1,0
38,15729599,804,1.5185139398778875,7,76548.6,98453.45,Lorenzo,Spain,Male,1,0,1,0
39,15717426,850,1.5563025007672873,7,0.0,40812.9,Armstrong,France,Male,1,1,1,0
40,15585768,582,1.6127838567197355,6,70349.48,178074.04,Cameron,Germany,Male,2,0,1,0
41,15619360,472,1.6020599913279623,4,0.0,70154.22,Hsiao,Spain,Male,1,1,0,0
42,15738148,465,1.7075701760979363,8,122522.32,181297.65,Clarke,France,Female,1,0,0,1
43,15687946,556,1.7853298350107671,2,117419.35,94153.83,Osborne,France,Female,1,1,1,0
44,15755196,834,1.6901960800285136,2,131394.56,194365.76,Lavine,France,Female,1,0,0,1
45,15684171,660,1.7853298350107671,5,155931.11,158338.39,Bianchi,Spain,Female,1,1,1,0
46,15754849,776,1.505149978319906,4,109421.13,126517.46,Tyler,Germany,Female,2,1,1,0
47,15602280,829,1.4313637641589874,9,112045.67,119708.21,Martin,Germany,Female,1,1,1,1
